ID,SCOP (Jun 23 to Aug 23),SCOP (Sep 23 to Nov 23),SCOP (Dec 23 to Feb 24),SCOP (Mar 24 to May 24),SCOP (Jun 23 to Jun 24)
195,Data not available,Data not available,3.438225265616758,4.201062848041271,4.095351897927895
196,Data not available,Data not available,3.6942011491132623,4.821366733430542,4.599552890731028
197,1.8298802110173493,3.5954258505758174,3.6024779352141403,3.666197221806999,3.507337072703064
202,Data not available,Data not available,Data not available,4.745048587093788,4.745048587093788
204,Data not available,Data not available,Data not available,5.652459614548103,5.652459614548103
208,Data not available,Data not available,Data not available,4.843422861501699,4.843422861501699
209,Data not available,Data not available,Data not available,4.256887911050311,4.256887911050311
210,Data not available,Data not available,Data not available,4.219415319641937,4.219415319641937
211,Data not available,Data not available,Data not available,3.214681817206061,3.214681817206061
212,Data not available,Data not available,Data not available,3.6130682599054715,3.6130682599054715
213,Data not available,Data not available,3.859895701001067,4.397252094797932,4.308151268071579
215,Data not available,Data not available,Data not available,3.839249589763442,3.839249589763442
216,Data not available,Data not available,Data not available,3.830083300585908,3.830083300585908
222,Data not available,Data not available,Data not available,4.347503187311473,4.347503187311473
223,Data not available,Data not available,Data not available,3.053549420689913,3.053549420689913
224,Data not available,Data not available,Data not available,3.5321108815427,3.5321108815427
225,Data not available,Data not available,Data not available,4.371766793591567,4.371766793591567
227,Data not available,Data not available,Data not available,4.122404768962647,4.122404768962647
228,Data not available,Data not available,Data not available,2.4003260181197876,2.4003260181197876
231,Data not available,Data not available,Data not available,4.274921298300651,4.274921298300651
232,Data not available,Data not available,Data not available,4.064611400984413,4.064611400984413
237,Data not available,Data not available,Data not available,4.443984815943656,4.443984815943656
238,Data not available,Data not available,Data not available,4.123607749807496,4.123607749807496
239,Data not available,Data not available,5.56837472093248,4.9897556494093225,5.02281716080166
240,Data not available,Data not available,Data not available,2.672465820523168,2.672465820523168
241,Data not available,Data not available,Data not available,3.9240328338918076,3.9240328338918076
243,Data not available,Data not available,Data not available,4.281513009137604,4.281513009137604
244,Data not available,Data not available,Data not available,4.663233625672383,4.663233625672383
248,Data not available,Data not available,Data not available,4.997059442594129,4.997059442594129
249,Data not available,Data not available,Data not available,1.4551717279741574,1.4551717279741574
250,Data not available,Data not available,Data not available,2.299180606683648,2.299180606683648
251,Data not available,Data not available,Data not available,3.0072230298568035,3.0072230298568035
252,Data not available,Data not available,Data not available,3.2291217054974246,3.2291217054974246
254,Data not available,Data not available,Data not available,4.608492909529203,4.608492909529203
256,Data not available,Data not available,Data not available,4.933899797016807,4.933899797016807
258,Data not available,Data not available,Data not available,3.968655928709477,3.968655928709477
262,Data not available,Data not available,Data not available,3.8455771350244974,3.8455771350244974
264,Data not available,Data not available,Data not available,3.9691008638070406,3.9691008638070406
265,Data not available,Data not available,Data not available,3.7065902127393127,3.7065902127393127
272,Data not available,3.6047434914306993,3.36336888683266,4.03047972635931,3.565906217587435
276,Data not available,Data not available,Data not available,4.754848039971538,4.754848039971538
278,Data not available,Data not available,Data not available,4.908362652535756,4.908362652535756
281,Data not available,Data not available,Data not available,4.229690149903979,4.229690149903979
282,Data not available,Data not available,Data not available,4.371855523800257,4.371855523800257
286,Data not available,4.61941200706285,4.294391830168636,4.601840515028243,4.451757148618654
287,Data not available,4.50514050719671,3.5056046131308713,3.7792779295084165,3.6090055182174634
289,Data not available,Data not available,Data not available,3.4467109012063077,3.4467109012063077
308,Data not available,Data not available,Data not available,4.692383660872559,4.692383660872559
